round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_neuron,shapes
32,3.018200635910034,0.24935732781887054,3.1226603984832764,0.2607802748680115,relu,8377,0.5881999999999998,500,699,3,1053,brick
6,127.00446319580078,0.0920308455824852,3.5374603271484375,0.2607802748680115,relu,12908,0.8527999999999998,500,2469,8,2528,triangle
6,72113.6015625,0.04113110527396202,3.5471484661102295,0.25872689485549927,relu,4437,0.9507999999999999,500,1112,9,1112,funnel
6,4.850444316864014,0.06015424057841301,3.549170732498169,0.2607802748680115,relu,5422,0.7155999999999999,500,345,8,2823,triangle
500,1.0584288835525513,0.5763496160507202,1.2313339710235596,0.46611911058425903,relu,13696,0.7939999999999998,500,2410,0,2351,triangle
19,3.0870611667633057,0.25809767842292786,3.1451265811920166,0.2607802748680115,relu,11529,0.30399999999999994,500,581,9,345,brick
500,5.464720249176025,0.06580977141857147,3.512032985687256,0.2607802748680115,relu,11135,0.8919999999999998,500,50,4,640,brick
14,3.0846965312957764,0.25809767842292786,3.303936719894409,0.2607802748680115,relu,6407,0.4411999999999999,500,876,7,2528,brick
193,0.8784405589103699,0.6452442407608032,1.2341316938400269,0.47843942046165466,relu,17045,0.10799999999999997,500,935,1,2764,brick
9,2.985386371612549,0.25809767842292786,3.287001609802246,0.2607802748680115,relu,10544,0.4019999999999999,500,1643,7,1407,triangle
12,3.2762787342071533,0.22776348888874054,3.3993208408355713,0.2607802748680115,relu,7589,0.6665999999999999,500,1289,4,2528,brick
39,1.6578340530395508,0.5053984522819519,1.7242103815078735,0.5133470296859741,relu,6210,0.4215999999999999,500,2882,3,2115,funnel
10,2304.982177734375,0.04987146705389023,3.5405805110931396,0.2607802748680115,relu,13302,0.9213999999999998,500,2528,8,1466,brick
7,3.008052110671997,0.25809767842292786,3.28340744972229,0.2607802748680115,relu,2270,0.4019999999999999,500,2646,7,1643,funnel
13,3.018169641494751,0.25809767842292786,3.08952260017395,0.2607802748680115,relu,8771,0.18639999999999998,500,463,9,2292,triangle
4,3.1889591217041016,0.16092544794082642,3.5415961742401123,0.2607802748680115,relu,497,0.6371999999999999,500,2056,8,1761,brick
500,0.9680116772651672,0.6349614262580872,1.2507319450378418,0.46201232075691223,relu,15272,0.15699999999999997,500,1289,0,935,triangle
6,3.0263264179229736,0.2544987201690674,3.468830108642578,0.2607802748680115,relu,14287,0.5293999999999999,500,2941,7,1820,brick
12,3.065084934234619,0.2570694088935852,3.2112081050872803,0.2607802748680115,relu,3846,0.5685999999999999,500,699,4,2174,triangle
26,31.185894012451172,0.054498713463544846,3.29604172706604,0.2607802748680115,relu,8574,0.9605999999999998,500,2115,2,1702,brick
500,2.9517247676849365,0.25809767842292786,3.3842480182647705,0.2607802748680115,relu,5422,0.6763999999999999,500,463,7,2587,triangle
109,1.05029296875,0.570694088935852,1.2580349445343018,0.47022587060928345,relu,6210,0.4999999999999999,500,2056,1,1997,brick
224,1.6460646390914917,0.4802056550979614,1.700181245803833,0.47638604044914246,relu,18621,0.08839999999999998,500,227,7,2823,brick
500,2.7731311321258545,0.24987146258354187,2.6405718326568604,0.26283368468284607,relu,7589,0.7155999999999999,500,109,0,1289,triangle
325,1.3993486166000366,0.5141388177871704,1.3621854782104492,0.4989733099937439,relu,11923,0.6763999999999999,500,817,1,1643,brick
118,1.8396891355514526,0.4190231263637543,1.6205452680587769,0.5010266900062561,relu,1482,0.5489999999999999,500,109,2,2587,funnel
500,0.8835682272911072,0.637532114982605,1.200928807258606,0.47433266043663025,relu,8180,0.6567999999999998,500,2882,0,345,brick
16,11.752791404724121,0.031362466514110565,3.48854660987854,0.20739220082759857,relu,1088,0.9115999999999999,500,1348,2,286,funnel
23,201.1027374267578,0.04010282829403877,3.5023787021636963,0.2607802748680115,relu,8968,0.9507999999999999,500,1289,4,1053,brick
