round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,kernel_initializer,last_neuron,shapes
18,1.1157745122909546,0.40411311388015747,1.0854400396347046,0.5195071697235107,relu,2073,0.6861999999999999,500,345,5,glorot_normal,463,funnel
5,1.4399840831756592,0.43598970770835876,1.027531623840332,0.5174537897109985,relu,2861,0.5685999999999999,500,1643,1,he_normal,1525,funnel
9,1.0506969690322876,0.4904884397983551,0.987758457660675,0.533880889415741,relu,300,0.23539999999999997,500,1407,7,he_normal,404,brick
8,0.9796940088272095,0.535732626914978,0.9673763513565063,0.5277207493782043,relu,300,0.3529999999999999,500,2646,3,uniform,463,funnel
26,0.9730237722396851,0.5413881540298462,0.9723251461982727,0.5379877090454102,relu,3649,0.30399999999999994,500,1702,2,uniform,1643,triangle
14,0.9725885987281799,0.5434447526931763,0.9719977378845215,0.5277207493782043,relu,694,0.05899999999999999,500,1171,2,uniform,463,brick
8,1.0407052040100098,0.49357327818870544,0.9927277565002441,0.546201229095459,relu,2467,0.15699999999999997,500,876,2,he_normal,640,triangle
72,1.0601667165756226,0.4544987082481384,1.0400571823120117,0.5195071697235107,relu,3058,0.7351999999999999,500,168,4,uniform,758,triangle
13,174.4642333984375,0.3470436930656433,1.096119999885559,0.5195071697235107,relu,3649,0.9409999999999998,500,2646,7,glorot_normal,1230,funnel
8,1.0502959489822388,0.4544987082481384,1.036194086074829,0.5195071697235107,relu,3255,0.24519999999999997,500,699,8,uniform,2882,funnel
8,1.9729735851287842,0.3660668432712555,1.125914216041565,0.3285420835018158,relu,3058,0.39219999999999994,500,2292,6,he_normal,1820,brick
500,0.9935191869735718,0.5305912494659424,0.9757018685340881,0.5441478490829468,relu,2270,0.6077999999999999,500,168,0,glorot_normal,1407,brick
7,1.927506446838379,0.2565552592277527,1.1489542722702026,0.2792607843875885,relu,3255,0.21579999999999996,500,2233,6,he_normal,2764,funnel
257,1.3541200160980225,0.4241645336151123,0.9701761603355408,0.533880889415741,relu,2664,0.8919999999999998,500,699,0,he_normal,286,triangle
7,1.1304820775985718,0.46992287039756775,0.9989916682243347,0.5236139893531799,relu,694,0.28439999999999993,500,1879,6,he_normal,1820,funnel
6,14.72854232788086,0.36349615454673767,1.0917372703552246,0.2854209542274475,relu,3649,0.8233999999999998,500,2941,6,uniform,2410,funnel
46,0.9912101626396179,0.5321336984634399,0.9706029891967773,0.5359342694282532,relu,891,0.29419999999999996,500,168,3,glorot_normal,1230,brick
5,13.799983024597168,0.35629820823669434,1.0704938173294067,0.3983573019504547,relu,891,0.6469999999999999,500,2174,6,he_normal,1053,funnel
10,5.607714653015137,0.365552693605423,1.0919041633605957,0.5195071697235107,relu,2467,0.8625999999999998,500,286,6,glorot_normal,1348,funnel
4,35.493839263916016,0.33933162689208984,1.0854175090789795,0.5174537897109985,relu,2664,0.7253999999999998,500,2941,9,uniform,2823,triangle
7,1.0566160678863525,0.46323907375335693,1.0348832607269287,0.5277207493782043,relu,1285,0.6273999999999998,500,1938,3,uniform,1230,brick
8,1.1438143253326416,0.40359896421432495,1.062536597251892,0.5195071697235107,relu,300,0.8919999999999998,500,1466,2,uniform,699,brick
57,7387.83251953125,0.33470436930656433,1.0455546379089355,0.5195071697235107,relu,2664,0.8919999999999998,500,227,8,he_normal,2233,brick
9,0.9932880401611328,0.5218508839607239,0.9676780700683594,0.5359342694282532,relu,1482,0.08839999999999998,500,2941,8,glorot_normal,2174,funnel
12,0.9779359102249146,0.5408740639686584,0.9816462397575378,0.5359342694282532,relu,1482,0.19619999999999996,500,2292,2,uniform,2056,funnel
7,0.9809659719467163,0.5372750759124756,0.9729130864143372,0.5379877090454102,relu,497,0.019799999999999998,500,1584,9,glorot_normal,1112,brick
12,1.000311017036438,0.4544987082481384,0.9675227999687195,0.5318275094032288,relu,1088,0.10799999999999997,500,758,9,glorot_normal,2823,funnel
100,0.9734257459640503,0.5393316149711609,0.96605384349823,0.5297741293907166,relu,694,0.24519999999999997,500,1348,0,uniform,1761,triangle
11,1.0464668273925781,0.47197943925857544,0.9815332293510437,0.5154004096984863,relu,1679,0.1276,500,2646,2,he_normal,2292,brick
50,1.0599777698516846,0.4544987082481384,1.0289019346237183,0.5195071697235107,relu,2467,0.5979999999999999,500,345,7,uniform,1525,brick
5,14.078826904296875,0.36760926246643066,1.3083888292312622,0.5195071697235107,relu,3058,0.8037999999999998,500,817,3,he_normal,1997,funnel
6,1.0766746997833252,0.4344472885131836,1.0954381227493286,0.5195071697235107,relu,300,0.6469999999999999,500,463,9,glorot_normal,2705,funnel
123,0.9768882393836975,0.5347043871879578,0.9670140147209167,0.5297741293907166,relu,1088,0.6077999999999999,500,1584,0,uniform,1525,triangle
10,0.9960052967071533,0.5377892255783081,0.9697551131248474,0.5256673693656921,relu,891,0.09819999999999998,500,1230,8,uniform,168,brick
256,0.9740614891052246,0.5398457646369934,0.9662245512008667,0.533880889415741,relu,2467,0.4215999999999999,500,1466,0,glorot_normal,1289,funnel
10,1.0568238496780396,0.4544987082481384,1.0693333148956299,0.5195071697235107,relu,1088,0.4999999999999999,500,935,8,uniform,1466,triangle
39,0.9786231517791748,0.5424164533615112,0.9663715958595276,0.533880889415741,relu,2270,0.6959999999999998,500,2174,1,glorot_normal,2174,brick
8,2.000558614730835,0.3794344365596771,1.0019761323928833,0.5236139893531799,relu,497,0.5979999999999999,500,1997,3,he_normal,345,funnel
254,0.9746041297912598,0.5419023036956787,0.9664788246154785,0.5297741293907166,relu,3255,0.5097999999999999,500,1525,0,glorot_normal,2410,funnel
6,0.9876073002815247,0.5413881540298462,0.9861545562744141,0.5482546091079712,relu,694,0.23539999999999997,500,2823,5,uniform,50,brick
4,1.07552170753479,0.4411311149597168,1.0937339067459106,0.5195071697235107,relu,694,0.5979999999999999,500,522,8,glorot_normal,2174,funnel
46,0.9756492376327515,0.5419023036956787,0.966821551322937,0.5277207493782043,relu,300,0.22559999999999997,500,994,0,glorot_normal,1643,funnel
4,1.4740995168685913,0.4524421691894531,1.0863455533981323,0.5297741293907166,relu,497,0.5783999999999999,500,1584,1,he_normal,1938,triangle
6,1.6907284259796143,0.41645243763923645,1.0463733673095703,0.4969199299812317,relu,2073,0.32359999999999994,500,1407,5,he_normal,1879,brick
7,6250.46533203125,0.33727505803108215,1.0583407878875732,0.5195071697235107,relu,891,0.9311999999999998,500,1820,6,he_normal,935,funnel
500,3.543182373046875,0.4452442228794098,1.0760927200317383,0.5195071697235107,relu,2861,0.9703999999999998,500,817,9,uniform,404,triangle
30,1.0357979536056519,0.49974292516708374,0.9715756177902222,0.5359342694282532,relu,891,0.32359999999999994,500,758,0,he_normal,817,brick
50,0.9743695855140686,0.5403599143028259,0.9665780663490295,0.5297741293907166,relu,3058,0.06879999999999999,500,817,2,uniform,522,triangle
5,146.46566772460938,0.365552693605423,1.0975841283798218,0.34907597303390503,relu,3255,0.8037999999999998,500,2056,6,he_normal,522,brick
44,0.9869961738586426,0.535732626914978,0.9647921919822693,0.533880889415741,relu,2664,0.8135999999999999,500,2646,1,uniform,1289,brick
19,0.9837623238563538,0.5408740639686584,0.9678898453712463,0.5297741293907166,relu,3255,0.21579999999999996,500,817,5,glorot_normal,2528,triangle
10,494.53076171875,0.35886889696121216,1.094132661819458,0.5195071697235107,relu,891,0.9703999999999998,500,1938,5,uniform,1820,funnel
13,1.0617482662200928,0.49562981724739075,1.0054458379745483,0.5277207493782043,relu,891,0.22559999999999997,500,1348,1,he_normal,1820,brick
8,1.2819633483886719,0.311053991317749,1.1735649108886719,0.2710472345352173,relu,3846,0.21579999999999996,500,1112,6,he_normal,2941,triangle
11,1.1105600595474243,0.408740371465683,1.0839924812316895,0.5195071697235107,relu,891,0.7743999999999999,500,1171,4,glorot_normal,50,triangle
123,1.0653960704803467,0.4498714506626129,1.078965187072754,0.5195071697235107,relu,694,0.6567999999999998,500,50,9,glorot_normal,1112,triangle
8,10.2383451461792,0.36092543601989746,0.9907792806625366,0.5420944690704346,relu,1088,0.7253999999999998,500,2587,4,he_normal,1938,triangle
31,1.0371078252792358,0.47814908623695374,1.0079989433288574,0.5400410890579224,relu,1876,0.7547999999999998,500,2174,2,uniform,699,brick
5,1.1552702188491821,0.4061696529388428,1.0602213144302368,0.4928131401538849,relu,300,0.28439999999999993,500,2469,8,he_normal,109,triangle
43,0.9965811967849731,0.5244215726852417,0.9727254509925842,0.5236139893531799,relu,1679,0.6665999999999999,500,699,2,glorot_normal,1761,triangle
7,14.548617362976074,0.38303342461586,1.0547077655792236,0.5154004096984863,relu,2270,0.5685999999999999,500,1761,8,he_normal,2174,brick
282,0.9713972210884094,0.5377892255783081,0.9667885303497314,0.5297741293907166,relu,2270,0.37259999999999993,500,1171,0,glorot_normal,1053,brick
6,1.1387687921524048,0.4437018036842346,1.001137614250183,0.48049280047416687,relu,2467,0.20599999999999996,500,2705,5,he_normal,404,funnel
55,0.9905470013618469,0.5341902375221252,0.9652511477470398,0.5359342694282532,relu,1088,0.4313999999999999,500,345,3,glorot_normal,1466,brick
6,6.473687648773193,0.3398457467556,1.0556608438491821,0.46817249059677124,relu,694,0.6077999999999999,500,758,5,he_normal,1643,brick
11,614.659912109375,0.3645244240760803,1.076142430305481,0.47227925062179565,relu,1482,0.8723999999999998,500,2587,6,he_normal,2410,triangle
59,1.1174637079238892,0.46375322341918945,0.9755315184593201,0.5379877090454102,relu,891,0.5489999999999999,500,699,0,he_normal,699,brick
5,1.283713698387146,0.4493573307991028,0.9907987117767334,0.5379877090454102,relu,300,0.4215999999999999,500,935,2,he_normal,1230,triangle
6,1.053322672843933,0.4544987082481384,1.0388929843902588,0.5195071697235107,relu,2467,0.23539999999999997,500,1643,9,uniform,2410,triangle
7,2.491919994354248,0.37172237038612366,1.082056999206543,0.5195071697235107,relu,2861,0.8429999999999999,500,2882,4,uniform,1466,triangle
10,1.1681907176971436,0.40411311388015747,1.060375690460205,0.533880889415741,relu,891,0.8723999999999998,500,2705,2,uniform,1171,funnel
13,219.44769287109375,0.3814910054206848,1.1217825412750244,0.2217659205198288,relu,1679,0.7645999999999998,500,1584,8,he_normal,463,brick
4,1.4026013612747192,0.37789201736450195,1.086850881576538,0.5195071697235107,relu,1679,0.6861999999999999,500,2115,6,uniform,935,brick
6,1.1282347440719604,0.40462726354599,1.2179850339889526,0.3347022533416748,relu,1876,0.16679999999999998,500,1761,6,he_normal,1289,triangle
247,1.1013039350509644,0.44832906126976013,0.9691651463508606,0.5359342694282532,relu,497,0.8723999999999998,500,227,0,he_normal,522,funnel
