round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,kernel_initializer,last_neuron,shapes
8,26.096784591674805,0.33316195011138916,1.0911743640899658,0.453798770904541,relu,1285,0.6077999999999999,500,2174,9,he_normal,2469,brick
64,0.9868147373199463,0.5213367342948914,0.9645237326622009,0.533880889415741,relu,694,0.2354,500,168,2,glorot_normal,699,brick
10,1.442259430885315,0.3856041133403778,1.02726149559021,0.47843942046165466,relu,1285,0.7253999999999998,500,2587,0,he_normal,699,brick
28,1.071980357170105,0.4555269777774811,1.0520583391189575,0.47843942046165466,relu,1876,0.30399999999999994,500,168,9,uniform,640,funnel
71,0.9775767922401428,0.5269922614097595,0.9640147089958191,0.5359342694282532,relu,497,0.6175999999999999,500,2823,0,uniform,2469,brick
36,0.9907857775688171,0.5223650336265564,0.9675230979919434,0.5318275094032288,relu,2270,0.30399999999999994,500,109,2,glorot_normal,2469,funnel
325,1.193351149559021,0.4478149116039276,0.9592020511627197,0.5379877090454102,relu,2270,0.7253999999999998,500,463,0,he_normal,699,brick
39,1.0132088661193848,0.47403597831726074,0.9826510548591614,0.5277207493782043,relu,497,0.4705999999999999,500,876,5,glorot_normal,50,funnel
69,1.0013587474822998,0.5115681290626526,0.9680949449539185,0.5277207493782043,relu,2467,0.5489999999999999,500,168,2,glorot_normal,1938,triangle
46,1.0513120889663696,0.48740360140800476,0.9624744057655334,0.5441478490829468,relu,2467,0.30399999999999994,500,2587,0,he_normal,2115,funnel
25,1.2366050481796265,0.4539845883846283,0.9682334661483765,0.5400410890579224,relu,497,0.7253999999999998,500,1702,0,he_normal,1112,triangle
7,1.0672610998153687,0.4555269777774811,1.0913985967636108,0.47843942046165466,relu,1285,0.5489999999999999,500,1584,9,glorot_normal,2115,brick
13,1.016825795173645,0.4884318709373474,0.9790821075439453,0.5133470296859741,relu,497,0.15699999999999995,500,463,9,he_normal,1407,triangle
4,14.045920372009277,0.33316195011138916,1.4260292053222656,0.47843942046165466,relu,2270,0.7253999999999998,500,168,4,he_normal,2469,triangle
13,1.3553636074066162,0.3856041133403778,1.0570895671844482,0.47638604044914246,relu,1088,0.2354,500,168,9,he_normal,699,brick
11,2.233628511428833,0.3686375319957733,0.9904338717460632,0.5030800700187683,relu,497,0.5489999999999999,500,463,4,he_normal,2115,funnel
4,1.6917804479599,0.3002570569515228,1.0978364944458008,0.41683778166770935,relu,1088,0.5489999999999999,500,2587,9,uniform,2115,brick
10,1.1212413311004639,0.46323907375335693,1.0012484788894653,0.5051334500312805,relu,1285,0.30399999999999994,500,2174,4,he_normal,1643,funnel
6,3.778794765472412,0.4005141258239746,1.115464448928833,0.5174537897109985,relu,497,0.7547999999999998,500,2587,2,he_normal,2115,brick
12,1.0068914890289307,0.5053984522819519,0.9699096083641052,0.5174537897109985,relu,694,0.15699999999999995,500,1584,4,he_normal,581,brick
7,3.090660810470581,0.36349615454673767,1.0662938356399536,0.47022587060928345,relu,497,0.5489999999999999,500,1584,5,he_normal,581,triangle
10,9.617109298706055,0.3640102744102478,1.0834678411483765,0.41683778166770935,relu,1285,0.5489999999999999,500,1584,9,he_normal,699,brick
5,1.258184552192688,0.3861182630062103,1.0858662128448486,0.47843942046165466,relu,1285,0.7547999999999998,500,2587,4,uniform,1643,triangle
30,2.5340797901153564,0.36915168166160583,1.0141174793243408,0.5195071697235107,relu,497,0.7253999999999998,500,463,2,he_normal,1938,brick
78,0.9866151213645935,0.5151671171188354,0.9670949578285217,0.5133470296859741,relu,3649,0.6077999999999999,500,463,2,uniform,1112,funnel
108,0.9761022329330444,0.5244215726852417,0.9638323187828064,0.533880889415741,relu,497,0.15699999999999995,500,876,0,glorot_normal,50,brick
191,0.9777237176895142,0.5254498720169067,0.9639894366264343,0.5379877090454102,relu,1088,0.30399999999999994,500,876,0,uniform,581,funnel
205,0.9734016060829163,0.5259640216827393,0.9635900259017944,0.5359342694282532,relu,3649,0.0198,500,2823,0,uniform,1938,triangle
39,0.9978943467140198,0.5115681290626526,0.9678698778152466,0.5112936496734619,relu,1285,0.4705999999999999,500,168,4,glorot_normal,1643,triangle
99,0.9858382344245911,0.5233933329582214,0.967473566532135,0.521560549736023,relu,2467,0.7253999999999998,500,876,2,uniform,581,brick
14,0.9803575277328491,0.519280195236206,0.9713334441184998,0.5195071697235107,relu,694,0.6175999999999999,500,2587,2,glorot_normal,699,brick
22,330.1235656738281,0.3660668432712555,1.059614658355713,0.47843942046165466,relu,3649,0.7547999999999998,500,463,9,he_normal,1112,triangle
13,3.76566219329834,0.35424163937568665,1.0139461755752563,0.5400410890579224,relu,1876,0.5489999999999999,500,2174,5,he_normal,1643,triangle
500,1.0627059936523438,0.47814908623695374,0.9724454879760742,0.533880889415741,relu,2270,0.4705999999999999,500,168,0,he_normal,2469,brick
37,0.9909608364105225,0.5259640216827393,0.971308708190918,0.5195071697235107,relu,1876,0.4705999999999999,500,1702,4,glorot_normal,581,brick
145,0.9770910739898682,0.5233933329582214,0.9643081426620483,0.5359342694282532,relu,1285,0.5489999999999999,500,1702,0,glorot_normal,2115,funnel
31,0.9973576068878174,0.5069409012794495,0.983989953994751,0.5133470296859741,relu,497,0.5489999999999999,500,876,5,uniform,1938,brick
4,1.1855872869491577,0.3876606822013855,1.0878560543060303,0.47843942046165466,relu,497,0.7547999999999998,500,1584,4,uniform,2469,funnel
45,1.0712833404541016,0.44832906126976013,1.0702357292175293,0.47843942046165466,relu,2467,0.5489999999999999,500,168,5,glorot_normal,640,triangle
172,0.9811862111091614,0.5161953568458557,0.9639866352081299,0.5359342694282532,relu,1285,0.7253999999999998,500,1584,0,uniform,2469,funnel
6,1.0530489683151245,0.46169665455818176,1.0374459028244019,0.5359342694282532,relu,3649,0.4705999999999999,500,2587,4,uniform,699,brick
19,0.9839009046554565,0.5233933329582214,0.9685519337654114,0.5133470296859741,relu,1285,0.2354,500,876,4,uniform,1407,funnel
14,3.178069591522217,0.3742930591106415,1.0198167562484741,0.48049280047416687,relu,2270,0.5489999999999999,500,1584,5,he_normal,2469,triangle
278,0.9747200012207031,0.5233933329582214,0.9635859131813049,0.5359342694282532,relu,2270,0.2354,500,1702,0,uniform,50,triangle
53,0.9789291024208069,0.5197943449020386,0.9677868485450745,0.5318275094032288,relu,1088,0.0198,500,168,4,glorot_normal,1112,brick
27,1.0521845817565918,0.4555269777774811,1.0379143953323364,0.47843942046165466,relu,1876,0.15699999999999995,500,109,9,uniform,1112,triangle
91,0.9843143820762634,0.5218508839607239,0.9681546092033386,0.5174537897109985,relu,3649,0.4705999999999999,500,463,4,uniform,1112,triangle
12,1.0231634378433228,0.47455012798309326,1.0433586835861206,0.4455852210521698,relu,1876,0.0198,500,1584,4,he_normal,1938,funnel
119,0.9758504033088684,0.5223650336265564,0.9638444781303406,0.533880889415741,relu,694,0.4705999999999999,500,1584,0,uniform,2469,triangle
4,17.31337547302246,0.36246785521507263,1.185621738433838,0.48049280047416687,relu,2270,0.7547999999999998,500,1702,4,he_normal,50,brick
23,0.9837050437927246,0.5264781713485718,0.9725202322006226,0.5277207493782043,relu,1285,0.2354,500,2587,9,uniform,1643,triangle
80,1.0202224254608154,0.5059126019477844,0.9636664986610413,0.533880889415741,relu,2270,0.2354,500,1702,0,he_normal,581,funnel
65,0.9997888207435608,0.4555269777774811,0.9806308150291443,0.47843942046165466,relu,497,0.0198,500,109,9,uniform,2469,brick
4,37.71771240234375,0.3470436930656433,1.6961299180984497,0.47843942046165466,relu,2270,0.7547999999999998,500,876,5,he_normal,1643,funnel
194,1.00123929977417,0.5161953568458557,0.9730537533760071,0.5297741293907166,relu,1285,0.5489999999999999,500,168,2,glorot_normal,50,triangle
18,0.9844176769256592,0.5213367342948914,0.9721666574478149,0.5154004096984863,relu,1088,0.5489999999999999,500,2174,2,uniform,640,brick
65,0.9804009795188904,0.5218508839607239,0.9672974348068237,0.521560549736023,relu,2467,0.30399999999999994,500,876,4,uniform,2469,brick
110,0.9969335794448853,0.48946014046669006,0.9776075482368469,0.5092402696609497,relu,2270,0.15699999999999995,500,168,9,glorot_normal,2469,brick
221,0.9917692542076111,0.5172236561775208,0.9695363640785217,0.5256673693656921,relu,2467,0.7253999999999998,500,109,2,uniform,699,funnel
27,1.0597621202468872,0.4555269777774811,1.0764598846435547,0.47843942046165466,relu,2270,0.6175999999999999,500,463,9,uniform,1112,triangle
500,1.0117648839950562,0.5141388177871704,0.988481879234314,0.5297741293907166,relu,3649,0.5489999999999999,500,109,0,uniform,640,triangle
21,2.9358768463134766,0.3598971664905548,1.0620836019515991,0.5133470296859741,relu,497,0.6175999999999999,500,463,4,he_normal,699,funnel
5,1.6052325963974,0.33933162689208984,1.0919756889343262,0.46201232075691223,relu,1876,0.7547999999999998,500,2823,4,uniform,50,brick
4,1.5702000856399536,0.3578406274318695,1.0984150171279907,0.47843942046165466,relu,694,0.7547999999999998,500,1702,9,glorot_normal,1112,brick
32,1.1633085012435913,0.4452442228794098,0.9638120532035828,0.5277207493782043,relu,497,0.6175999999999999,500,1584,0,he_normal,2469,brick
156,0.9853038787841797,0.5182519555091858,0.9679218530654907,0.5174537897109985,relu,2270,0.7253999999999998,500,463,2,uniform,581,triangle
